team_name,zipcode,team_valuation,super_bowl_wins,division
Dallas Cowboys,76010,4000000000,5,3
New England Patriots,02035,3200000000,4,7
Washington Redskins,20784,2850000000,3,3
New York Giants,07073,2800000000,4,3
San Francisco 49ers,95050,2700000000,5,4
New York Jets,07073,2600000000,1,7
Houston Texans,77002,2500000000,0,6
Chicago Bears,60604,2450000000,1,1
Philadelphia Eagles,19107,2400000000,0,3
Green Bay Packers,54303,1950000000,4,1
Denver Broncos,80203,1940000000,2,8
Baltimore Ravens,21202,1930000000,2,5
Pittsburgh Steelers,15219,1900000000,6,5
Indianapolis Colts,46225,1875000000,2,6
Seattle Seahawks,98164,1870000000,1,4
Miami Dolphins,33056,1850000000,2,7
Atlanta Falcons,30334,1670000000,0,2
Minnesota Vikings,55401,1590000000,0,1
Carolina Panthers,28280,1560000000,0,2
Arizona Cardinals,85301,1540000000,0,4
Kansas City Chiefs,64106,1530000000,1,8
San Diego Chargers,92101,1525000000,0,8
New Orleans Saints,70112,1515000000,1,2
Tampa Bay Buccaneers,33602,1510000000,1,2
Cleveland Browns,44113,1500000000,0,5
Tennessee Titans,37213,1490000000,0,6
Jacksonville Jaguars,32202,1480000000,0,6
Cincinnati Bengals,45202,1445000000,0,5
Detroit Lions,48226,1440000000,0,1
Oakland Raiders,94612,1430000000,3,8
Buffalo Bills,14127,1400000000,0,7
